# Macaque CNV gene counter
# Species:   human
# PYTHON VERSION: 3.7.4
# Script call:    .\06_gene_count_bed.py human
# Runtime:        09/26/2020 12:07:36
# ----------------
# Log file:        gene-counts-human-noalu.log
# Max CNV length:  999999999999999
# CNVs file:       bed/human-cnvs-filtered-noalu.bed
# Gene file:       bed/human-cnvs-to-genes.bed
# 10kb up file:    bed/human-cnvs-to-genes-10kb-up.bed
# 10kb down file:  bed/human-cnvs-to-genes-10kb-down.bed
# Transcript file: bed/human-cnvs-to-transcripts.bed
# Exon file:       bed/human-cnvs-to-exons.bed
# ----------------
# 09.26.2020 | 12:07:36 Reading CNVs...
# CNVs read: 15529

# 09.26.2020 | 12:07:36 Counting gene overlaps...

GENES
AT LEAST ONE GENIC REGION: 8903
NUM REGIONS OVERLAPPED AT LEAST ONCE: 6119

	Del	Dup
Full	289	166
Part	5194	966

	Del	Dup
Full	232	97
Part	7754	1010

All CNVs avg. overlap
	Del	Dup
Full	0.019	0.012
Part	0.561	0.073
All	0.58	0.085

Overlapping CNVs avg. overlap
	Del	Dup
Full	1.272	1.866
Part	1.124	1.128
All	1.147	1.255

TOTAL AVG. OVERLAP CONDITIONAL: 1.0117937773784118
ENSG00000185736	10	2
ENSG00000150760	6	2
ENSG00000068383	4	3
ENSG00000171811	7	0
ENSG00000204740	5	1
ENSG00000151240	8	0
ENSG00000183230	16	1
ENSG00000182771	4	5
ENSG00000172987	6	1
ENSG00000065135	6	0
ENSG00000198788	5	1
ENSG00000162105	4	2
ENSG00000150672	14	2
ENSG00000082805	7	1
ENSG00000175727	4	2
ENSG00000151952	12	3
ENSG00000072609	12	0
ENSG00000042781	5	1
ENSG00000151067	5	1
ENSG00000143776	8	1
ENSG00000018236	6	3
ENSG00000182901	6	1
ENSG00000185420	8	2
ENSG00000214776	10	4
ENSG00000185046	8	0
ENSG00000142611	3	3
ENSG00000185989	8	1
ENSG00000176124	5	2
ENSG00000179399	6	1
ENSG00000256050	0	6
ENSG00000127124	5	2
ENSG00000182185	4	2
ENSG00000021645	5	1
ENSG00000224078	7	0
ENSG00000182256	6	0
ENSG00000066933	6	0
ENSG00000166748	6	1
ENSG00000069424	7	0
ENSG00000279877	5	2
ENSG00000184588	12	0
ENSG00000078328	4	3
ENSG00000186153	10	1
ENSG00000127586	6	0
ENSG00000103227	5	2
ENSG00000140945	11	1
ENSG00000159842	9	1
ENSG00000141293	6	0
ENSG00000141252	6	0
ENSG00000167281	10	0
ENSG00000167693	7	1
ENSG00000141564	13	3
ENSG00000150477	6	0
ENSG00000167216	6	0
ENSG00000187323	8	0
ENSG00000150636	6	0
ENSG00000215421	8	1
ENSG00000264015	6	1
ENSG00000176533	4	3
ENSG00000198597	13	0
ENSG00000129946	5	1
ENSG00000167676	6	0
ENSG00000118156	7	0
ENSG00000066044	6	0
ENSG00000172264	13	0
ENSG00000196090	6	1
ENSG00000234948	7	1
ENSG00000087495	6	1
ENSG00000179242	12	2
ENSG00000182621	6	1
ENSG00000172554	17	3
ENSG00000163009	2	7
ENSG00000175497	5	2
ENSG00000237484	6	0
ENSG00000157542	7	0
ENSG00000171587	6	1
ENSG00000115705	14	5
ENSG00000183570	8	1
ENSG00000228613	3	5
ENSG00000186487	4	4
ENSG00000133424	5	2
ENSG00000224271	8	0
ENSG00000219438	6	0
ENSG00000188511	6	0
ENSG00000100425	6	0
ENSG00000049323	6	0
ENSG00000226994	6	0
ENSG00000143919	5	1
ENSG00000282890	6	1
ENSG00000179915	6	0
ENSG00000231918	9	0
ENSG00000132394	6	1
ENSG00000154928	6	0
ENSG00000177694	5	1
ENSG00000197584	6	1
ENSG00000275163	5	1
ENSG00000114279	6	0
ENSG00000231304	6	0
ENSG00000151789	6	0
ENSG00000223727	6	0
ENSG00000144455	10	2
ENSG00000189283	7	0
ENSG00000196277	6	0
ENSG00000185008	6	0
ENSG00000125046	14	0
ENSG00000109452	5	1
ENSG00000168843	7	0
ENSG00000145416	6	1
ENSG00000174473	10	0
ENSG00000185774	8	0
ENSG00000175920	6	1
ENSG00000150471	9	0
ENSG00000184985	8	3
ENSG00000138640	4	2
ENSG00000184305	7	1
ENSG00000152208	8	1
ENSG00000251574	8	0
ENSG00000154162	5	1
ENSG00000066230	6	0
ENSG00000113448	10	1
ENSG00000251513	6	0
ENSG00000185345	10	1
ENSG00000071242	5	1
ENSG00000184465	7	4
ENSG00000137274	7	0
ENSG00000228170	6	0
ENSG00000196301	10	7
ENSG00000196126	6	0
ENSG00000196735	3	3
ENSG00000188107	4	2
ENSG00000229618	8	1
ENSG00000136267	6	0
ENSG00000174469	9	1
ENSG00000055609	6	0
ENSG00000130226	10	0
ENSG00000184863	7	1
ENSG00000009335	5	1
ENSG00000155093	36	16
ENSG00000233038	7	6
ENSG00000002822	8	0
ENSG00000146555	13	0
ENSG00000188191	6	0
ENSG00000158321	5	1
ENSG00000187391	8	0
ENSG00000237647	14	1
ENSG00000164796	6	0
ENSG00000185053	3	3
ENSG00000104728	9	2
ENSG00000036448	8	0
ENSG00000183117	20	2
ENSG00000253773	6	0
ENSG00000104375	9	0
ENSG00000153707	14	3
ENSG00000181090	5	1
ENSG00000107099	5	8
ENSG00000107104	6	1
ENSG00000101972	8	0
ENSG00000198947	13	1

# 09.26.2020 | 12:07:39 Counting 10kb upstream gene overlaps...

10KB UP
